Publication,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Technique
Bradford et al. 2007,Orgyia leucostigma,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Mesocosm,Plant leaf,Laboratory,Induced herbivory
Brennan et al. 2009,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Leaf litter,Coastal Blackbutt forest,Litter bag exclusion
Buchkowski et al. 2019,Melanoplus femurrubrum,Grasshoppers,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,Old field grassland,Cage exclusion
Chapman et al. 2003,Matsucoccus acalyptus,Leaf-piercing scale,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide
Chapman et al. 2003,Dioryctria albovittella,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide
Classen et al. 2006,Macroarthropods,Moth and Scale insects,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide
Gonzalez and Seastedt 2001,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical wet forest,Insecticide/physical barrier/sifting
Gonzalez and Seastedt 2001,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical wet forest,Insecticide/physical barrier/sifting
Gonzalez and Seastedt 2001,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical dry forest,Insecticide/physical barrier/sifting
Gonzalez and Seastedt 2001,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Subalpine forest,Insecticide/physical barrier/sifting
Gonzalez and Seastedt 2001,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Subalpine forest,Insecticide/physical barrier/sifting
