Publication,StudyID,ES.ID,Taxon,Invertebrate.type,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Fauna.manipulation,Mesh.size,Litter,Litter.identity,Units,Duration,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Anderson 1973,1,1,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,1-0.175 mm,Litter,Chestnut,prop. decom,930 d,23,22,3.817090396,2.883648465,75.01,66.44
Anderson 1973,1,2,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,7-1 mm,Litter,Chestnut,prop. decom,930 d,22,23,3.924633595,3.817090396,91.77,75.01
Anderson 1973,1,3,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,7-1 mm,Litter,Beech,prop. decom,930 d,8,7,4.350871317,4.360090171,40.41,45.39
Anderson 1973,1,4,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,1-0.175 mm,Litter,Beech,prop. decom,930 d,7,8,4.542323042,4.661132456,45.41,45.39
Anderson 1973,1,5,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,7-1 mm,Litter,Chestnut,prop. decom,930 d,21,20,4.605956183,4.677489137,77.18,70.49
Anderson 1973,1,6,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Castenea woodland,Litter bag exclusion,1-0.175 mm,Litter,Chestnut,prop. decom,930 d,20,21,4.677489137,3.787639095,70.49,63.97
Anderson 1973,1,7,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,7-1mm,Litter,Beech,prop. decom,930 d,11,8,7.623160551,10.10152545,57.7,58.04
Anderson 1973,1,8,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,UK,Temperate,Woodland,Field study,Litter,Fagus woodland,Litter bag exclusion,1-0.175 mm,Litter,Beech,prop. decom,930 d,8,8,10.10152545,8.413127621,58.04,55.71
Araujo et al. 2004,2,9,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Vismia sp.,prop. decom,97 d,4,3,0.5,1.4,18.4,15.2
Araujo et al. 2004,2,10,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Vismia sp.,prop. decom,97 d,4,3,1,1.1,15.5,17.1
Araujo et al. 2004,2,11,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Carapa guianesis,prop. decom,97 d,4,3,1.1,6.6,22.9,31.2
Araujo et al. 2004,2,12,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Hevea brasiliensis,prop. decom,97 d,4,3,2.6,9.3,34.8,38.2
Araujo et al. 2004,2,13,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Carapa guianesis,prop. decom,97 d,4,3,2.7,1.4,26.6,24.5
Araujo et al. 2004,2,14,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Mixed litter,prop. decom,97 d,4,3,3.3,2.8,29,24.2
Araujo et al. 2004,2,15,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Hevea brasiliensis,prop. decom,97 d,4,3,4.8,14.4,30.6,46.1
Araujo et al. 2004,2,16,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation,NA,Litter,Mixed litter,prop. decom,97 d,4,3,7.6,3.3,28.9,28.7
Araujo et al. 2012,3,17,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion,10-2 mm,Litter,Bromus pictus,prop. decom,1089 d,5,5,4.715867365,4.709159161,30.341,29.227
Araujo et al. 2012,3,18,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion,2-0.01 mm,Litter,Bromus pictus,prop. decom,1089 d,5,5,4.715867365,0.941831832,29.227,32.446
Ashton et al. 2019,4,19,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Field study,Litter,Tropical rainforest,Insecticide,1 cm,Litter,Shorea johorensis,prop. decom,112 d,12,12,0.010392305,0.01125833,0.57,0.401
Asplund et al. 2013,5,20,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Cladonia rangiferina,prop. decom,162 d,10,10,5.084942478,9.088385995,23.563,23.57
Asplund et al. 2013,5,21,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Cladonia stellaris,prop. decom,162 d,10,10,7.270076341,0.926547354,21.869,21.264
Asplund et al. 2013,5,22,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Hypogymnia physodes,prop. decom,162 d,10,10,9.088385995,5.451766686,89.661,52.301
Asplund et al. 2013,5,23,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion,1-0.05 mm,Lichen,Evemia prunastri,prop. decom,162 d,10,10,10.90353337,10.90037109,66.675,57.47
