Publication,StudyID,ES.ID,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Exclusion.Technique,Response.variables,Substrate,Litter.treatment,Units,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Araujo et al. 2004,1,1,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation,Ammonium,Litter,Carapa guianesis,ug g-1,4,3,0.4,0.9,1.7,1.3
Araujo et al. 2004,1,2,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation,Ammonium,Litter,Hevea brasiliensis,ug g-1,4,3,0.5,0.04,1.5,1.4
Araujo et al. 2004,1,3,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation,Ammonium,Litter,Vismia sp.,ug g-1,4,3,0.5,0.3,1.9,0.7
Araujo et al. 2004,1,4,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation,Ammonium,Litter,Mixed litter,ug g-1,4,3,0.8,0.3,1.5,1.2
Araujo et al. 2004,1,5,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation,Ammonium,Litter,Carapa guianesis,ug g-1,4,3,1.2,0.9,1.7,1.2
Araujo et al. 2004,1,6,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation,Ammonium,Litter,Vismia sp.,ug g-1,4,3,1.2,0.8,2.7,1.3
Araujo et al. 2004,1,7,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation,Ammonium,Litter,Hevea brasiliensis,ug g-1,4,3,1.5,0.5,4.7,1.6
Araujo et al. 2004,1,8,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation,Ammonium,Litter,Mixed litter,ug g-1,4,3,1.8,0.5,3.1,2.3
Araujo et al. 2004,1,9,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation,Nitrate,Litter,Carapa guianesis,ug g-1,4,3,0.7,0.8,4.5,2.8
Araujo et al. 2004,1,10,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation,Nitrate,Litter,Mixed litter,ug g-1,4,3,0.9,0.7,4.8,3.5
Araujo et al. 2004,1,11,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation,Nitrate,Litter,Vismia sp.,ug g-1,4,3,1.2,1.5,5,2.5
Araujo et al. 2004,1,12,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation,Nitrate,Litter,Hevea brasiliensis,ug g-1,4,3,1.4,0.4,13,5.6
Araujo et al. 2004,1,13,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation,Nitrate,Litter,Carapa guianesis,ug g-1,4,3,1.7,0.7,6.2,4.4
Araujo et al. 2004,1,14,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation,Nitrate,Litter,Hevea brasiliensis,ug g-1,4,3,2,2.1,5.6,2.5
Araujo et al. 2004,1,15,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation,Nitrate,Litter,Mixed litter,ug g-1,4,3,3.8,0.7,10.2,5.6
Araujo et al. 2004,1,16,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation,Nitrate,Litter,Vismia sp.,ug g-1,4,3,6.1,2.4,13,6.3
Ashton et al. 2019,2,17,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Mesocosm,Leaf litter,NA,Insecticide,Ammonium,Litter,NA,ug 10 cm-1,12,12,26.80296296,7.153333333,20.919,11.364
Ashton et al. 2019,2,18,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Mesocosm,Leaf litter,NA,Insecticide,Nitrate,Litter,NA,ug 10 cm-1,12,12,40.8437037,22.73259259,49.777,35.555
Brennan et al. 2009,3,19,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Leaf litter,NA,Litter bag exclusion,Total N,Litter,Eucalyptus spp.,g,6,6,0.004898979,0.00244949,0.044,0.041
Brown 1994,4,20,Trirhabda canadensis,Beetle,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,NA,Insecticide,Nitrate,Litter,NA,mg kg soil-1,24,12,0.18616122,0.131635861,0.267,0.116
Brown 1994,4,21,Trirhabda canadensis,Beetle,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,NA,Insecticide,Total N,Litter,NA,mg kg soil-1,24,12,0.930806102,1.177794549,1.57,1.43
Buchkowski and Schmitz 2015,5,22,Rabidosa rabida,Spiders,Hunting predators,Predator,USA,Temperate,Grassland,Field study,Litter,Oldfield grassland,Fauna manipulation,Total N,NA,NA,ug g-1,5,5,0.064845971,0.114039467,0.201,0.229
Buchkowski and Schmitz 2015,5,23,Melanoplus femurrubrum,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Fauna manipulation,Total N,NA,NA,ug g-1,5,5,0.096150923,0.114039467,0.273,0.229
Buchkowski and Schmitz 2015,5,24,Oniscus asellus,Isopod,Detritus shredders,Decomposers,USA,Temperate,Grassland,Field study,Litter,Oldfield grassland,Fauna manipulation,Total N,NA,NA,ug g-1,5,5,0.149816554,0.114039467,0.268,0.229
Buchkowski and Schmitz 2015,5,25,Pisaurina mira,Spiders,Hunting predators,Predator,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Fauna manipulation,Total N,NA,NA,ug g-1,5,5,0.194537914,0.114039467,0.361,0.229
Chapman et al. 2003,6,26,Matsucoccus acalyptus,Leaf-piercing scale,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Susceptible,Insecticide,Total N,Litter,Pinus edulis,g kg-1,20,20,0.921260007,0.487462819,7.939,4.983
Chapman et al. 2003,6,27,Dioryctria albovittella,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Susceptible,Insecticide,Total N,Litter,Pinus edulis,g kg-1,20,20,1.538414769,0.934676415,6.392,5.12
Classen et al. 2006,7,28,Macroarthropods,Moth and Scale insects,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,NA,Insecticide,Total N,Litter,NA,g,12,12,0.034641016,0.103923048,0.09,0.13
Craig and Bardgett 2001,8,29,Protaphorura armata,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation,Total N ,Litter,Mixed litter,ug N g ,18,18,3.551090255,10.52599154,12.798,12.117
Craig and Bardgett 2001,8,30,Folsomia candida,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation,Total N ,Litter,Mixed litter,ug N g ,18,18,4.671147397,10.52599154,19.954,12.117
Craig and Bardgett 2001,8,31,Pseudosinella alba,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation,Total N ,Litter,Mixed litter,ug N g ,18,18,8.256178777,10.52599154,16.238,12.117
Craig and Bardgett 2001,8,32,Collembola community,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation,Total N ,Litter,Mixed litter,ug N g ,18,18,55.45131378,1.794,33.168,12.392
Fonte and Schowalter 2005,9,33,Lamponius portoricensis,Phasmatidae,Leaf chewers,Herbivore,Puerto Rico,Tropical,Woodland,Field study,Plant leaf,Subtropical wet forest,Fauna manipulation,Ammonium,NA,NA,mg L-1,10,10,3.094,3.645,2.641,3.804
Fonte and Schowalter 2005,9,34,Lamponius portoricensis,Phasmatidae,Leaf chewers,Herbivore,Puerto Rico,Tropical,Woodland,Field study,Plant leaf,Subtropical wet forest,Fauna manipulation,Nitrate,NA,NA,mg L-1,10,10,0.039,0.182,0.12,0.22
Katayama et al. 2013,10,35,Aphis glycines,Aphididae,Leaf piercers,Herbivores,Japan,Temperate,Agriculture,Mesocosm,Plant leaf,Soybean cropfield,Fauna manipulation,Total N,Litter,Glycine max,mg g-1,5,5,1.357293262,4.613008238,25.899,30.752
Koltz et al. 2018,11,36,Lycosidae,Spiders,Hunting predators,Predator,USA,Arctic,Woodland,Field study,Litter,Arctic tundra,Fauna manipulation,Total N,Litter,NA,mg 10 cm-2,5,5,3.674814815,2.873333333,11.705,10.62
Lamers et al. 2009,12,37,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Ulmus pumila,g ,8,8,0.02,0.02,0.13,0.16
Lamers et al. 2009,12,38,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Ulmus pumila,g ,8,8,0.02,0.02,0.16,0.18
Lamers et al. 2009,12,39,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Elaegnus angustifolia,g ,8,8,0.04,0.03,0.28,0.32
Lamers et al. 2009,12,40,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Populus euphratica,g ,8,8,0.04,0.03,0.18,0.19
Lamers et al. 2009,12,41,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Elaegnus angustifolia,g ,8,8,0.05,0.04,0.23,0.28
Lamers et al. 2009,12,42,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,Total N,Litter,Populus euphratica,g ,8,8,0.06,0.04,0.18,0.18
Mikola and Setala 1998,13,43,Prionchulus punctatus,Nematodes,Hunting predators,Predator,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation,Ammonium,Litter,Betula pubescens,ug g-1,8,8,3.252691193,1.725340546,4.05,2.11
Mikola and Setala 1998,13,44,"Caenorhabditis elegans, Aphelenchoides",Nematodes,Detritus grazers,Decomposers,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation,Ammonium,Litter,Betula pubescens,ug g-1,8,8,6.703372286,1.725340546,7.55,2.11
Pant et al. 2017,14,45,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,Ammonium,Litter,Pinus roxburghii,ug g-1,3,3,0.200917894,0.190525589,1.8,1.6
Pant et al. 2017,14,46,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,Ammonium,Litter,Quercus leucotrichophora,ug g-1,3,3,0.265003774,0.219970453,2.75,2.6
Pant et al. 2017,14,47,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,Nitrate,Litter,Pinus roxburghii,ug g-1,3,3,0.225166605,0.207846097,2.47,2.12
Pant et al. 2017,14,48,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion,Nitrate,Litter,Quercus leucotrichophora,ug g-1,3,3,0.259807621,0.259807621,4.27,4.08
Risch et al. 2015,15,49,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide,Ammonium,NA,NA,kg ha-1 yr-1,18,18,0.144249783,0.084852814,0.309,0.341
Risch et al. 2015,15,50,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide,Nitrate,NA,NA,kg ha-1 yr-1,18,18,0.144249783,0.084852814,0.049,0.056
Risch et al. 2015,15,51,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide,Total N,NA,NA,kg ha-1 yr-1,18,18,0.144249783,0.084852814,0.359,0.401
Schadler et al. 2004,16,52,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,Ammonium,NA,NA,mg 100 g-1,8,8,0.084852814,0.073539105,0.316,0.318
Schadler et al. 2004,16,53,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide,Ammonium,NA,NA,mg 100 g-1,8,8,0.084852814,0.042426407,0.316,0.325
Schadler et al. 2004,16,54,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,Nitrate,NA,NA,mg 100 g-1,8,8,0.20647518,0.209303607,0.84,0.897
Schadler et al. 2004,16,55,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide,Nitrate,NA,NA,mg 100 g-1,8,8,0.20647518,0.189504617,0.84,0.93
Toyota and Kaneko 2014,17,56,Parafontaria laminata,Diplopoda,Detritus shredders,Decomposers,Japan,Temperate,Agriculture,Field study,Soil,Japanese Lirch Plantation,Fauna manipulation,Total N,NA,NA,kg ha-1 yr-1,6,6,7.595867692,13.7563344,6.164,56.62266667
Vreeken-Buijs and Brussard 1996,18,57,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Netherlands,Temperate,Agriculture,Field study,Soil,Wheat cropfield,Litter bag exclusion,Total N,Litter,Triticum,g,20,20,0.058137767,0.013416408,0.022,0.001
Yang et al. 2020,19,58,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation,Litter Total N ,Litter,Mixed litter,g kg-1,4,4,0.055,0.01,0.254,0.016
Yang et al. 2020,19,59,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation,Litter Total N ,Litter,Mixed litter,g kg-1,4,4,0.015,0.01,0.171,0.016
Zhang et al. 2011,20,60,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation,Total N,NA,NA,g kg-2,9,9,0.285858,0.177,2.488,2.401
Zhang et al. 2011,20,61,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation,Total N,NA,NA,g kg-2,9,9,1.149501,0.426,10.47667,9.416
Li et al. 2018,21,62,Lasius alienus; Lasius flavus,Ants,Bioturbator,Decomposers,China,Temperate,Grassland,Field study,Soil,Semi-arid grassland,Insecticide,Soil Total N,NA,NA,g/kg,4,4,2.433333333,3.406666667,22.994,2.461
Newington et al. 2004,22,63,"Aporrectodea caliginosa; A. longa; A. nocturna; A. tuberculata; Allolobophora chlorotica; Octolasion lacteum
lacteum",Earthworm,Bioturbator,Decomposers,England,Temperate,Grassland,Mesocosm,Soil,Laboratory,Fauna manipulation,Soil Nitrate,NA,NA,mg/kg,15,15,3.050619882,1.94423764,5.274333333,1.632
Uriate 2000,23,64,Trirhabda virgata,Beetle,Leaf chewers,Herbivores,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,Soil Total N,NA,NA,g/resin,8,8,0.045254834,0.045254834,0.29,0.2
